#[NAME]::[AUTHOR]::[LICENSE]::[LICENSE_URL]::[SOURCE_URL]

1337::Mark Herpich::MIT License::https://github.com/MarkMichos/1337-Scheme/blob/master/LICENSE::https://raw.githubusercontent.com/MarkMichos/1337-Scheme/master/1337.tmTheme

10-Percent-Too-Dull::Nicholas Cerminara::MIT License::https://github.com/scotch-io/10-percent-too-dull-for-my-tastes/blob/master/LICENSE::https://raw.githubusercontent.com/scotch-io/10-percent-too-dull-for-my-tastes/master/scotchy.tmTheme

Agila-Classic::Arvi Acuzar::MIT License::https://github.com/arvi/Agila-Theme/blob/master/LICENSE::https://raw.githubusercontent.com/arvi/Agila-Theme/master/Agila%20Classic%20Oceanic%20Next.tmTheme

Agila-Cobalt::Arvi Acuzar::MIT License::https://github.com/arvi/Agila-Theme/blob/master/LICENSE::https://raw.githubusercontent.com/arvi/Agila-Theme/master/Agila%20Cobalt.tmTheme

Agila-Neon::Arvi Acuzar::MIT License::https://github.com/arvi/Agila-Theme/blob/master/LICENSE::https://raw.githubusercontent.com/arvi/Agila-Theme/master/Agila%20Neon%20Monocyanide.tmTheme

Agila-Origin::Arvi Acuzar::MIT License::https://github.com/arvi/Agila-Theme/blob/master/LICENSE::https://raw.githubusercontent.com/arvi/Agila-Theme/master/Agila%20Origin%20Oceanic%20Next.tmTheme

Agola-Dark::Fatih Kececi (UnderlineWords)::MIT License::https://github.com/UnderlineWords/Agola-Color-Schemes/blob/master/LICENSE::https://raw.githubusercontent.com/UnderlineWords/Agola-Color-Schemes/master/AgolaDark.tmTheme

Agola-Dark-X2::Fatih Kececi (UnderlineWords)::MIT License::https://github.com/UnderlineWords/Agola-Color-Schemes/blob/master/LICENSE::https://raw.githubusercontent.com/UnderlineWords/Agola-Color-Schemes/master/AgolaDarkX2.tmTheme

Agola-Expert-Class::Fatih Kececi (UnderlineWords)::MIT License::https://github.com/UnderlineWords/Agola-Color-Schemes/blob/master/LICENSE::https://raw.githubusercontent.com/UnderlineWords/Agola-Color-Schemes/master/AgolaExpertClass.tmTheme

Agola-Light::Fatih Kececi (UnderlineWords)::MIT License::https://github.com/UnderlineWords/Agola-Color-Schemes/blob/master/LICENSE::https://raw.githubusercontent.com/UnderlineWords/Agola-Color-Schemes/master/AgolaLight.tmTheme

Agola-Nimbus::Fatih Kececi (UnderlineWords)::MIT License::https://github.com/UnderlineWords/Agola-Color-Schemes/blob/master/LICENSE::https://raw.githubusercontent.com/UnderlineWords/Agola-Color-Schemes/master/AgolaNimbus.tmTheme

ANSI-Dark::bat-developers::Apache License, v2.0::https://github.com/sharkdp/bat/blob/master/LICENSE-APACHE::https://raw.githubusercontent.com/sharkdp/bat/master/assets/themes/ansi-dark.tmTheme

ANSI-Light::bat-developers::Apache License, v2.0::https://github.com/sharkdp/bat/blob/master/LICENSE-APACHE::https://raw.githubusercontent.com/sharkdp/bat/master/assets/themes/ansi-light.tmTheme

Atomic-DarkBlue::Gerard Bajona::MIT License::https://github.com/gerardbm/sublime-atomic-scheme/blob/master/LICENSE::https://raw.githubusercontent.com/gerardbm/sublime-atomic-scheme/master/Atomic%20-%20Dark%20blue%20(Soft).tmTheme

Atomic-DarkCyan::Gerard Bajona::MIT License::https://github.com/gerardbm/sublime-atomic-scheme/blob/master/LICENSE::https://raw.githubusercontent.com/gerardbm/sublime-atomic-scheme/master/Atomic%20-%20Dark%20cyan%20(Soft).tmTheme

Atomic-Light-Hard::Gerard Bajona::MIT License::https://github.com/gerardbm/sublime-atomic-scheme/blob/master/LICENSE::https://raw.githubusercontent.com/gerardbm/sublime-atomic-scheme/master/Atomic%20-%20Light%20(Hard).tmTheme

Atomic-Light-Soft::Gerard Bajona::MIT License::https://github.com/gerardbm/sublime-atomic-scheme/blob/master/LICENSE::https://raw.githubusercontent.com/gerardbm/sublime-atomic-scheme/master/Atomic%20-%20Light%20(Soft).tmTheme

Atomic-NightOrange::Gerard Bajona::MIT License::https://github.com/gerardbm/sublime-atomic-scheme/blob/master/LICENSE::https://raw.githubusercontent.com/gerardbm/sublime-atomic-scheme/master/Atomic%20-%20Night%20orange%20(Soft).tmTheme

Atomic-NightRed::Gerard Bajona::MIT License::https://github.com/gerardbm/sublime-atomic-scheme/blob/master/LICENSE::https://raw.githubusercontent.com/gerardbm/sublime-atomic-scheme/master/Atomic%20-%20Night%20red%20(Soft).tmTheme

#Ayu themes are pinned to 4.0.0 tag as no longer released in tmTheme format
Ayu-Dark::Ike Ku::MIT License::https://github.com/dempfi/ayu/blob/master/LICENSE::https://raw.githubusercontent.com/dempfi/ayu/4.0.0/ayu-dark.tmTheme

Ayu-Light::Ike Ku::MIT License::https://github.com/dempfi/ayu/blob/master/LICENSE::https://raw.githubusercontent.com/dempfi/ayu/4.0.0/ayu-light.tmTheme

Ayu-Mirage::Ike Ku::MIT License::https://github.com/dempfi/ayu/blob/master/LICENSE::https://raw.githubusercontent.com/dempfi/ayu/4.0.0/ayu-mirage.tmTheme

Base-16-Atlas::Chris Kempson::MIT License::https://github.com/chriskempson/base16-textmate/blob/master/LICENSE.md::https://raw.githubusercontent.com/chriskempson/base16-textmate/master/Themes/base16-atlas.tmTheme

Base-16-Dark::Chris Kempson::MIT License::https://github.com/chriskempson/base16-textmate/blob/master/LICENSE.md::https://raw.githubusercontent.com/chriskempson/base16-textmate/master/Themes/base16-default-dark.tmTheme

Base-16-Gruvbox-Dark-Hard::Chris Kempson::MIT License::https://github.com/chriskempson/base16-textmate/blob/master/LICENSE.md::https://raw.githubusercontent.com/chriskempson/base16-textmate/master/Themes/base16-gruvbox-dark-hard.tmTheme

Base-16-Gruvbox-Dark-Medium::Chris Kempson::MIT License::https://github.com/chriskempson/base16-textmate/blob/master/LICENSE.md::https://raw.githubusercontent.com/chriskempson/base16-textmate/master/Themes/base16-gruvbox-dark-medium.tmTheme

Base-16-Gruvbox-Dark-Pale::Chris Kempson::MIT License::https://github.com/chriskempson/base16-textmate/blob/master/LICENSE.md::https://raw.githubusercontent.com/chriskempson/base16-textmate/master/Themes/base16-gruvbox-dark-pale.tmTheme

Base-16-Gruvbox-Dark-Soft::Chris Kempson::MIT License::https://github.com/chriskempson/base16-textmate/blob/master/LICENSE.md::https://raw.githubusercontent.com/chriskempson/base16-textmate/master/Themes/base16-gruvbox-dark-soft.tmTheme

